num,date,review,rating,like
233,2021년 04월 08일,"화장품 가격 진짜 저렴, 입생로랑 구매했어요.",4,
234,2021년 04월 08일,"할인이 다양하게 되니까, 장보기 좋네요.",3,
235,2021년 04월 08일,쇼핑하기 편해요~ 엄마한테 알려드릴 예정,5,
236,2021년 04월 08일,특가 세일하는 게 있어서 이상하게 매일 한번씩 접속하게 되네요.,3,
237,2021년 04월 08일,업데이트 되고나서 접속이 안되요 무슨 앱이 모바일 로도 접속 안되고 와이파이 로도안되면 쓰지 말라는건가요 롯대온 깔고 롯데마트고 깔고 업데이트 되고 나서 접속이 안되여 왜 업데이트하나요 ㅠㅠㅠ,1,19
238,2021년 04월 08일,여기서 특가 상품 골라잡는 재미가 있네요 ㅎㅎ,4,
239,2021년 04월 08일,"일단 첫구매하면, 할인 쿠폰 진짜 많아요.",4,
240,2021년 04월 07일,가성비 좋은상품 많네요,5,
241,2021년 04월 07일,백화점 상품은 물론 퀄리티가 좋은 상품이 많아서 좋네요.,4,
242,2021년 04월 07일,너무 좋아요. 티몬이랑 쿠팡 쓰다가 그냥 이제 롯데온으로 바꿨음,3,
243,2021년 04월 07일,상품 구매할때 엄청 싸게 구매했어요 다른 곳보다 할인도 많이 하는거 같아요!,5,
244,2021년 04월 07일,"여러가지 쇼핑몰 장점을 하나로 모은 듯, 만족",4,
245,2021년 04월 07일,"생필품 쇼핑에 적합, 배송 완전 빠름",3,
246,2021년 04월 07일,업데이트 이후에 화면 드래그해서 확대/축소가 안되요.,2,
247,2021년 04월 07일,오류없이 잘 사용하고 있어요!,5,
248,2021년 04월 07일,롯카 있으면 여기 할인 많이 됩니다 ㅋ,4,
249,2021년 04월 07일,쿠폰 할인 정말 갑,3,
250,2021년 04월 07일,광고 찍으면 바로 안들어가져요,1,
251,2021년 04월 07일,간편하게 물건사기 좋네요.,3,
252,2021년 04월 12일,첫 결제 할인 5천점 괜찮네요,4,
253,2021년 04월 07일,굿,5,
254,2021년 04월 07일,"구매한 상품에 할인적용이 자동으로 되니깐 넘 좋아요,, 이런기능 굿굿",5,
255,2021년 04월 07일,저렴하게 구매했네요,5,
256,2021년 04월 07일,불편한 거 없이 잘 쓰고 있어요~ 감사합니다.,3,
257,2021년 04월 07일,이번에 딸내미 교구 샀는데 구성품들 완벽하게 포장되서 왔네요~! 만족합니다.,4,
258,2021년 04월 07일,신상이 빨리 나와서 좋아요,3,
259,2021년 04월 06일,싸고 좋아요~,5,
260,2021년 04월 06일,좋아요 가격도저렴하고,5,
261,2021년 04월 06일,앱 자체가 쓰기 편하네요.,3,
262,2021년 04월 06일,"원래 다른 쇼핑몰에서 많이 샀었는데, 가격도 좋고 앱이 편해서 그냥 여기로 정착했어요",4,
263,2021년 04월 06일,판매자 로그인할때마다 휴대폰 인증하고 들어가야 됨 미침,1,
264,2021년 04월 06일,문제없이 잘 사용하고 있네요~,5,
